"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,AdvPumpFaceplate.TextTabMain,Arial,8,1,Main,主要,,
Caption,AdvPumpFaceplate.TextTabDetails,Arial,8,0,Details,详细,,
Caption,AdvPumpFaceplate.grpMain.grpTagInTagOutBtnDisabled.TextBtnTagIn1,Arial,8,1,In Service,运行中,,
Caption,AdvPumpFaceplate.grpMain.grpTagInTagOutBtnDisabled.TextBtnTagOut1,Arial,8,1,Tag Out,结束,,
Caption,AdvPumpFaceplate.grpMain.TextlblMode1,Arial,8,1,Mode:,模式:,,
Caption,AdvPumpFaceplate.grpMain.TextlblOperational,Arial,8,1,Tag Out:,结束:,,
Caption,AdvPumpFaceplate.grpMain.TextlblStatus1,Arial,8,1,State:,状态:,,
Caption,AdvPumpFaceplate.grpMain.TextlblAlarm,Arial,8,1,Alarm:,报警:,,
Caption,AdvPumpFaceplate.grpMain.TextDynamoName,Arial,8,1,@DynamoName@,@DynamoName@,,
Caption,AdvPumpFaceplate.grpMain.txtMainTagOut,Arial,8,1,?????,?????,,
Caption,AdvPumpFaceplate.grpMain.txtMainMode,Arial,8,1,?????,?????,,
Caption,AdvPumpFaceplate.grpMain.txtMainState,Arial,8,1,?????,?????,,
Description,AdvPumpFaceplate.grpMain.SwitchSelector2StateLg,,,,SwitchSelector2StateLg,状态切换开关,,
Caption,AdvPumpFaceplate.grpMain.TextModeAuto,Arial,8,1,Auto,自动,,
Caption,AdvPumpFaceplate.grpMain.TextModeManl,Arial,8,1,Manual,手动,,
Caption,AdvPumpFaceplate.grpMain.txtMainAlarm,Arial,8,1,?????,?????,,
Caption,AdvPumpFaceplate.grpMain.grpTagInTagOutBtn.TextBtnTagIn,Arial,8,1,In Service,运行中,,
Caption,AdvPumpFaceplate.grpMain.grpTagInTagOutBtn.TextBtnTagOut,Arial,8,1,Tag Out,结束,,
Caption,AdvPumpFaceplate.grpMain.grpStartBtnDisabled.TextBtnStart,Arial,8,1,Start,启动,,
Caption,AdvPumpFaceplate.grpMain.grpStopBtnDisabled.TextBtnStop,Arial,8,1,Stop,停止,,
Caption,AdvPumpFaceplate.grpMain.grpStartBtn.TextBtnRunCmd,Arial,8,1,Start,启动,,
Caption,AdvPumpFaceplate.grpMain.grpStopBtn.TextBtnStopCmd,Arial,8,1,Stop,停止,,
Caption,AdvPumpFaceplate.grpDetails.TextTabAlarms,Arial,8,0,Alarms,报警,,
Caption,AdvPumpFaceplate.grpDetails.TextTabTagOut,Arial,8,0,Tag Out,结束,,
Caption,AdvPumpFaceplate.grpDetails.TextTabMode,Arial,8,0,Mode,模式,,
Caption,AdvPumpFaceplate.grpDetails.TextTabState,Arial,8,1,State,状态,,
Caption,AdvPumpFaceplate.grpDetails.TextTabSpare,Arial,8,0,Spare,空闲,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsState.TextlblRunCmd,Arial,8,0,Start Command Source:,启动命令源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsState.TextlblStopCmd,Arial,8,0,Stop Command Source:,停止命令源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsState.TextlblIndication,Arial,8,0,Indication Source:,注明出处:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsState.txtDtlIndicationVal,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsState.TextlblIndicationValue,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsMode.TextlblModeIndication,Arial,8,0,Indication Source:,注明出处:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsMode.TextlblModeAutoCmd,Arial,8,0,Auto Command Source:,自动命令源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsMode.TextlblModeManlCmd,Arial,8,0,Manual Command Source:,手动命令源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsMode.txtDtlModeIndicationVal,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsMode.TextlblModeIndicationValue,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm1Source,Arial,8,0,@Alarm1Label@:,@Alarm1Label@:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm2Source,Arial,8,0,@Alarm2Label@:,@Alarm2Label@:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm3Source,Arial,8,0,@Alarm3Label@:,@Alarm3Label@:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.txtDtlAlarm1Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.txtDtlAlarm2Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.txtDtlAlarm3Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm1Value,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm2Value,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsAlarms.TextlblAlarm3Value,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsTagOut.TextlblTagOut,Arial,8,0,Tag Out Source:,结束源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsTagOut.txtDtlTagOutVal,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsTagOut.TextlblTagOutValue,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare1Source,Arial,8,0,Spare 1 Source:,空闲 1源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare2Source,Arial,8,0,Spare 2 Source:,空闲 2源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare3Source,Arial,8,0,Spare 3 Source:,空闲 3源:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare1Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare2Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare3Val,Arial,8,0,#####,#####,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare1Value,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare2Value,Arial,8,0,Value:,值:,,
Caption,AdvPumpFaceplate.grpDetails.grpDetailsSpare.TextlblSpare3Value,Arial,8,0,Value:,值:,,
