"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,AdvValveFaceplate.TextTabMain,Arial,8,1,Main,主页,,
Caption,AdvValveFaceplate.TextTabDetails,Arial,8,0,Details,细节,,
Caption,AdvValveFaceplate.grpMain.grpTagInTagOutBtnDisabled.TextBtnTagIn1,Arial,8,1,In Service,运行中,,
Caption,AdvValveFaceplate.grpMain.grpTagInTagOutBtnDisabled.TextBtnTagOut1,Arial,8,1,Tag Out,结束,,
Caption,AdvValveFaceplate.grpMain.TextlblMode1,Arial,8,1,Mode:,模式:,,
Caption,AdvValveFaceplate.grpMain.TextlblOperational,Arial,8,1,Tag Out:,结束:,,
Caption,AdvValveFaceplate.grpMain.TextlblStatus1,Arial,8,1,State:,状态:,,
Caption,AdvValveFaceplate.grpMain.TextDynamoName,Arial,8,1,@DynamoName@,@DynamoName@,,
Caption,AdvValveFaceplate.grpMain.txtMainTagOut,Arial,8,1,?????,?????,,
Caption,AdvValveFaceplate.grpMain.txtMainMode,Arial,8,1,?????,?????,,
Caption,AdvValveFaceplate.grpMain.txtMainState,Arial,8,1,?????,?????,,
Description,AdvValveFaceplate.grpMain.SwitchSelector2StateLg,,,,SwitchSelector2StateLg,状态切换开关,,
Caption,AdvValveFaceplate.grpMain.TextModeLocal,Arial,8,1,Local,就地,,
Caption,AdvValveFaceplate.grpMain.TextModeRemote,Arial,8,1,Remote,远程,,
Caption,AdvValveFaceplate.grpMain.grpTagInTagOutBtn.TextBtnTagIn,Arial,8,1,In Service,运行中,,
Caption,AdvValveFaceplate.grpMain.grpTagInTagOutBtn.TextBtnTagOut,Arial,8,1,Tag Out,结束,,
Caption,AdvValveFaceplate.grpMain.grpOpenBtnDisabled.TextBtnOpen,Arial,8,1,Open,打开,,
Caption,AdvValveFaceplate.grpMain.grpCloseBtnDisabled.TextBtnClose,Arial,8,1,Close,关闭,,
Caption,AdvValveFaceplate.grpMain.grpOpenBtn.TextBtnOpenCmd,Arial,8,1,Open,打开,,
Caption,AdvValveFaceplate.grpMain.grpCloseBtn.TextBtnCloseCmd,Arial,8,1,Close,关闭,,
Caption,AdvValveFaceplate.grpMain.grpHaltBtn.TextBtnHaltCmd,Arial,8,1,Halt,暂停,,
Caption,AdvValveFaceplate.grpMain.grpHaltBtnDisabled.TextBtnHalt,Arial,8,1,Halt,暂停,,
Caption,AdvValveFaceplate.grpDetails.TextTabTagOut,Arial,8,0,Tag Out,结束,,
Caption,AdvValveFaceplate.grpDetails.TextTabMode,Arial,8,0,Mode,模式:,,
Caption,AdvValveFaceplate.grpDetails.TextTabState,Arial,8,1,State,状态,,
Caption,AdvValveFaceplate.grpDetails.TextTabSpare,Arial,8,0,Spare,空闲,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.TextlblCloseCmd,Arial,8,0,Close Command Source:,关闭命令源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.TextlblOpenCmd,Arial,8,0,Open Command Source:,打开命令源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.TextlblIndication,Arial,8,0,Indication Source:,注明出处:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.txtDtlIndicationVal,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.TextlblIndicationValue,Arial,8,0,Value:,值:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsState.TextlblHaltCmd,Arial,8,0,Halt Command Source:,暂停命令源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsMode.TextlblModeIndication,Arial,8,0,Indication Source:,注明出处:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsMode.TextlblModeRemoteCmd,Arial,8,0,Remote Command Source:,远程命令源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsMode.TextlblModeLocalCmd,Arial,8,0,Local Command Source:,就地命令源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsMode.txtDtlModeIndicationVal,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsMode.TextlblModeIndicationValue,Arial,8,0,Value:,值:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsTagOut.TextlblTagOut,Arial,8,0,Tag Out Source:,结束源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsTagOut.txtDtlTagOutVal,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsTagOut.TextlblTagOutValue,Arial,8,0,Value:,值:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare1Source,Arial,8,0,Spare 1 Source:,空闲 1源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare2Source,Arial,8,0,Spare 2 Source:,空闲 2源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare3Source,Arial,8,0,Spare 3 Source:,空闲 3源:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare1Val,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare2Val,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.txtDtlSpare3Val,Arial,8,0,#####,#####,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare1Value,Arial,8,0,Value:,值:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare2Value,Arial,8,0,Value:,值:,,
Caption,AdvValveFaceplate.grpDetails.grpDetailsSpare.TextlblSpare3Value,Arial,8,0,Value:,值:,,
