"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,DynamoPopupHist.grpTimeSettingsTab.grpSampleTime.txtlblStartTime1,Arial,9,1,Date / Time,日期 / 时间,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.txtlblUpdateRate,Arial,9,0,Update Rate:,更新频率:,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.ttxlblHours3,Arial,8,0,Hours,小时,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.ttxlblMin3,Arial,8,0,Min,分钟,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.ttxlblSec3,Arial,8,0,Sec,秒,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.TextColonSeparatorA4,Arial,10,1,:,:,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.TextColonSeparatorB4,Arial,10,1,:,:,,
Description,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.BtnUpdateRateSpinUp,,,,Down Command Button,命令按钮,,
OleCaption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.BtnUpdateRateSpinUp,Arial,12,0,,,,
Description,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.BtnUpdateRateSpinDown,,,,Down Command Button,命令按钮,,
OleCaption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.BtnUpdateRateSpinDown,Arial,12,0,,,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.TextUpdateRateHour,Arial,10,0,0,0,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.TextUpdateRateMin,Arial,11,0,0,0,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpUpdateRate1.grpUpdateRateControl.TextUpdateRateSec,Arial,11,0,0,0,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpAvgLowHigh.grpEndTime.txtlblEndTime,Arial,9,1,End Time,结束时间,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpAvgLowHigh.grpStartTime.txtlblStartTime,Arial,9,1,Start Time,开始时间,,
Caption,DynamoPopupHist.grpTimeSettingsTab.grpValueComboBox.txtlblValueType,Arial,9,0,Data Value Type:,数据值类型:,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.ttxlblHours1,Arial,8,0,Hours,小时,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.ttxlblMin1,Arial,8,0,Min,分钟,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.ttxlblSec1,Arial,8,0,Sec,秒,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.ttxlblDays1,Arial,8,0,Days,天,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorC2,Arial,10,1,:,:,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorA2,Arial,10,1,:,:,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorB2,Arial,10,1,:,:,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.txtlblScrollRate1,Arial,9,0,Scroll Rate:,滚动速率:,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextScrollSec,Arial,11,0,0,0,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextScrollMin,Arial,11,0,0,0,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextScrollHour,Arial,10,0,1,1,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.TextScrollDay,Arial,11,0,0,0,,
Description,DynamoPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinUp,,,,Down Command Button,命令按钮,,
OleCaption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinUp,Arial,12,0,,,,
Description,DynamoPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinDown,,,,Down Command Button,命令按钮,,
OleCaption,DynamoPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinDown,Arial,12,0,,,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollRadioButtons.txtlblScrollByMonth,Arial,10,0,Scroll by Month,按月滚动,,
Caption,DynamoPopupHist.grpScrollRateTab.grpScrollRadioButtons.txtlblScrollByTime,Arial,10,0,Scroll by Preset Time,按预设时间滚动,,
Caption,DynamoPopupHist.grpCommandButtons.txtlblOK,Arial,8,1,OK,确定,,
Caption,DynamoPopupHist.grpCommandButtons.txtlblCancel,Arial,8,1,Cancel,取消,,
Caption,DynamoPopupHist.grpCommandButtons.txtlblApply,Arial,8,1,Apply,应用,,
Caption,DynamoPopupHist.grpCommandButtons.txtlblHelp,Arial,8,1,Help,帮助,,
Caption,DynamoPopupHist.grpTabsBar.txtlblTab1,Arial,8,1,Time Settings,时间设定,,
Caption,DynamoPopupHist.grpTabsBar.txtlblTab2,Arial,8,0,Scroll Rate,滚动速率,,
