"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,HistorianDataEntryWizard.grpServer.txtlblUsername,Arial,8,0,Username:,用户名:,,
Caption,HistorianDataEntryWizard.grpServer.txtlblPassword,Arial,8,0,Password:,密码:,,
Caption,HistorianDataEntryWizard.grpServer.txtlblHistorianServer,Arial,9,0,Historian Servers:,历史数据库服务器:,,
Caption,HistorianDataEntryWizard.grpServer.grpConnectButton.btntxtlblConnect,Arial,9,1,Connect,连接,,
Caption,HistorianDataEntryWizard.grpServer.grpDisconnectButton.btntxtlblDisconnect,Arial,9,1,Disconnect,断开连接,,
Caption,HistorianDataEntryWizard.grpServer.grpConnectionStatus.txtConnectionStatus,Arial,9,1,Not Connected,没有连接上,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlbDateTime,Arial,9,0,Date / Time:,日期 / 时间:,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblValue,Arial,8,0,Value:,值:,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblComments,Arial,8,0,Comment:,注释:,,
Caption,HistorianDataEntryWizard.grpWriteValue.grpWriteValue1.btntxtlblWriteValue,Arial,8,1,Write Value,写值,,
Caption,HistorianDataEntryWizard.grpWriteValue.grpVerifyLastWrite.btntxtlblVerifyLastWrite,Arial,8,1,Verify Last Write,验证最后一次写,,
Caption,HistorianDataEntryWizard.grpWriteValue.grpReadLastTenValues.btntxtlblReadLastTenValues,Arial,9,1,Read Last 10 Values,读取最后10个值,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblHeaderValue,Arial,9,0,Value,值,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblHeaderDate,Arial,8,0,Date,日期,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblHeaderQuality,Arial,9,0,Quality,质量,,
Description,HistorianDataEntryWizard.grpWriteValue.SetCurrentTimeButton5,,,,Set to current time.,设置为当前时间.,,
OleCaption,HistorianDataEntryWizard.grpWriteValue.SetCurrentTimeButton5,Arial,12,0,,,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblHeaderComment,Arial,8,0,Comment,注释,,
Caption,HistorianDataEntryWizard.grpWriteValue.txtlblHeaderTime,Arial,8,0,Time,时间,,
Caption,HistorianDataEntryWizard.grpTags.txtlblTagnameFilter,Arial,8,0,Tagname Filter:,标签名过滤:,,
Caption,HistorianDataEntryWizard.grpTags.txtlblTagnames,Arial,8,0,Tagnames:,标签名:,,
Caption,HistorianDataEntryWizard.grpTags.grpQueryTags.btntxtlblQueryTags,Arial,8,1,Query Tags,查询标签,,
Caption,HistorianDataEntryWizard.grpTags.txtlblHighEGU,Arial,8,0,High EGU:,工程单位高限:,,
Caption,HistorianDataEntryWizard.grpTags.txtlblLowEGU,Arial,9,0,Low EGU:,工程单位低限:,,
Caption,HistorianDataEntryWizard.grpTags.txtlblTagDescription,Arial,8,0,Description:,描述:,,
Caption,HistorianDataEntryWizard.grpCloseButton.btntxtlblClose,Arial,8,1,Close,关闭,,
