"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,HistorianDataExportWizard.grpServer.txtlblUsername,Arial,8,0,Username:,用户名:,,
Caption,HistorianDataExportWizard.grpServer.txtlblPassword,Arial,8,0,Password:,密码:,,
Caption,HistorianDataExportWizard.grpServer.txtlblHistorianServer,Arial,9,0,Historian Servers:,历史数据库服务器:,,
Caption,HistorianDataExportWizard.grpServer.grpConnectButton.btntxtlblConnect,Arial,9,1,Connect,连接,,
Caption,HistorianDataExportWizard.grpServer.grpDisconnectButton.btntxtlblDisconnect,Arial,9,1,Disconnect,断开连接,,
Caption,HistorianDataExportWizard.grpServer.grpConnectionStatus.txtConnectionStatus,Arial,9,1,Not Connected,没有连接上,,
Caption,HistorianDataExportWizard.grpTags.txtlblTagnameFilter,Arial,8,0,Tagname Filter:,Tagname Filter:,,
Caption,HistorianDataExportWizard.grpTags.txtlblTagnames,Arial,8,0,Tagnames:,标签名:,,
Caption,HistorianDataExportWizard.grpTags.grpQueryTags.btntxtlblQueryTags,Arial,8,1,Query Tags,查询标签,,
Caption,HistorianDataExportWizard.grpCloseButton.btntxtlblClose,Arial,8,1,Close,关闭,,
Description,HistorianDataExportWizard.grpReadValuesAndExport.grpStartDateTime.SetStartCurrentTimeButton,,,,Set to current time.,设置为当前时间.,,
OleCaption,HistorianDataExportWizard.grpReadValuesAndExport.grpStartDateTime.SetStartCurrentTimeButton,Arial,12,0,,,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpStartDateTime.txtlbStartDateTime,Arial,8,0,Start Date / Time:,开始日期 / 时间:,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpEndDateTime.txtlbEndDateTime,Arial,8,0,End Date / Time:,结束日期 / 时间:,,
Description,HistorianDataExportWizard.grpReadValuesAndExport.grpEndDateTime.SetEndCurrentTimeButton,,,,Set to current time.,设置为当前时间.,,
OleCaption,HistorianDataExportWizard.grpReadValuesAndExport.grpEndDateTime.SetEndCurrentTimeButton,Arial,12,0,,,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpWriteToFile.txtlblExportFileName,Arial,8,0,File Name:,文件名:,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpWriteToFile.grpSelectFile.btntxtlblSelectFile,Arial,8,1,Select File,选择文件,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpExportValuesButton.btntxtlblExportValues,Arial,8,1,Export,导出,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpExportRadioButtons.txtlbExportByDate,Arial,10,0,Export values in specified date range,导出值到指定日期范围,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpExportRadioButtons.txtlblScrollLastTen,Arial,10,0,Export the last ten values,导出最后十个值,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpExportingData.txtlblExportingZeroPercent,Arial,12,1,0%,0%,,
Caption,HistorianDataExportWizard.grpReadValuesAndExport.grpExportingData.txtlblExportingHundredPercent,Arial,12,1,100%,100%,,
