"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,LineChartPopupHist.grpTimeSettingsTab.grpEndTime.txtlblEndTime,Arial,9,1,End Time,结束时间,,
Caption,LineChartPopupHist.grpTimeSettingsTab.grpStartTime.txtlblStartTime,Arial,9,1,Start Time,开始时间,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.ttxlblHours1,Arial,8,0,Hours,小时,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.ttxlblMin1,Arial,8,0,Min,分钟,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.ttxlblSec1,Arial,8,0,Sec,秒,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.ttxlblDays1,Arial,8,0,Days,天,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorC2,Arial,10,1,:,:,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorA2,Arial,10,1,:,:,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextColonSeparatorB2,Arial,10,1,:,:,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.txtlblScrollRate1,Arial,9,0,Scroll Rate:,滚动速率:,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextScrollSec,Arial,11,0,0,0,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextScrollMin,Arial,11,0,0,0,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextScrollHour,Arial,10,0,1,1,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.TextScrollDay,Arial,11,0,0,0,,
Description,LineChartPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinUp,,,,Down Command Button,命令按钮,,
OleCaption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinUp,Arial,12,0,,,,
Description,LineChartPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinDown,,,,Down Command Button,命令按钮,,
OleCaption,LineChartPopupHist.grpScrollRateTab.grpScrollTime.BtnScrollSpinDown,Arial,12,0,,,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollRadioButtons.txtlblScrollByMonth,Arial,10,0,Scroll by Month,按月滚动,,
Caption,LineChartPopupHist.grpScrollRateTab.grpScrollRadioButtons.txtlblScrollByTime,Arial,10,0,Scroll by Preset Time,按预设时间滚动,,
Caption,LineChartPopupHist.grpCommandButtons.txtlblOK,Arial,8,1,OK,确定,,
Caption,LineChartPopupHist.grpCommandButtons.txtlblCancel,Arial,8,1,Cancel,取消,,
Caption,LineChartPopupHist.grpCommandButtons.txtlblApply,Arial,8,1,Apply,应用,,
Caption,LineChartPopupHist.grpCommandButtons.txtlblHelp,Arial,8,1,Help,帮助,,
Caption,LineChartPopupHist.grpTabsBar.txtlblTab1,Arial,8,1,Time Settings,时间设定,,
Caption,LineChartPopupHist.grpTabsBar.txtlblTab2,Arial,8,0,Update Rate,更新速率,,
Caption,LineChartPopupHist.grpTabsBar.txtlblTab3,Arial,8,0,Plotting Styles,绘图方式,,
Caption,LineChartPopupHist.grpTabsBar.txtlblTab4,Arial,8,0,Scroll Rate,滚动速率,,
Caption,LineChartPopupHist.grpUpdateRate.txtlblUpdateRate,Arial,9,0,Update Rate:,更新速率:,,
Caption,LineChartPopupHist.grpUpdateRate.grpUpdateRateControl.grpUpdateRateLabels.ttxlblHours3,Arial,8,0,Hours,小时,,
Caption,LineChartPopupHist.grpUpdateRate.grpUpdateRateControl.grpUpdateRateLabels.ttxlblMin3,Arial,8,0,Min,分钟,,
Caption,LineChartPopupHist.grpUpdateRate.grpUpdateRateControl.grpUpdateRateLabels.ttxlblSec3,Arial,8,0,Sec,秒,,
