"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,LineChartPopupReal.grpCommandButtons.txtlblOK,Arial,8,1,OK,确定,,
Caption,LineChartPopupReal.grpCommandButtons.txtlblCancel,Arial,8,1,Cancel,取消,,
Caption,LineChartPopupReal.grpCommandButtons.txtlblApply,Arial,8,1,Apply,应用,,
Caption,LineChartPopupReal.grpCommandButtons.txtlblHelp,Arial,8,1,Help,帮助,,
Caption,LineChartPopupReal.grpTabsBar.txtlblTab1,Arial,8,1,Plotting Styles,绘图方式,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingBar,Arial,10,0,Bar,条,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingArea,Arial,10,0,Area,区域,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingLine,Arial,10,0,Line,线,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingHistogram,Arial,10,0,Histogram,柱状图,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingPoints,Arial,10,0,Points,点,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingPointsLine,Arial,10,0,Points + Line,点 + 线,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingSpline,Arial,10,0,Spline,样条,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingPointsBestCurve,Arial,10,0,Points + Best Fit Curve,点 + 最佳拟合曲线,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingPointsBestLine,Arial,10,0,Points + Best Fit Line,点 + 最佳拟合线,,
Caption,LineChartPopupReal.grpPlottingStyles.txtlblPlottingPointsSpline,Arial,10,0,Points + Spline,点 + 样条,,
