"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_800_600_FaultStatus.grpHeaderBar.grpTitle.txtShadingTitle,Arial,22,1,Fault Status,故障状态,,
Caption,OEM_800_600_FaultStatus.grpHeaderBar.grpTitle.txtFrontTitle,Arial,22,1,Fault Status,故障状态,,
Description,OEM_800_600_FaultStatus.grpHeaderBar.PanelBtnHome,,,,Home,主页,,
Description,OEM_800_600_FaultStatus.grpHeaderBar.PanelBtnMachineSetup,,,,Machine Setup,机器设置,,
Description,OEM_800_600_FaultStatus.grpHeaderBar.PanelBtnStateModel,,,,State Model,状态模型,,
Description,OEM_800_600_FaultStatus.grpHeaderBar.PanelBtnProducitonStatus,,,,Production Status,生产状态,,
Description,OEM_800_600_FaultStatus.grpHeaderBar.PanelBtnProductSetup,,,,Product Setup,产品设置,,
Caption,OEM_800_600_FaultStatus.grpResetAll.TextResetAll,Arial,14,1,Reset All,重置所有,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault1.TextPlusOne1,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault1.txtVBAScriptControlledLabel1,Arial,14,0,Machine Fault 1:,机器故障 1:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault1.DataLink_Fault1,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault2.TextPlusOne2,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault2.txtVBAScriptControlledLabel2,Arial,14,0,Machine Fault 2:,机器故障 2:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault2.DataLink_Fault2,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault3.TextPlusOne3,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault3.txtVBAScriptControlledLabel3,Arial,14,0,Machine Fault 3:,机器故障 3:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault3.DataLink_Fault3,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault4.TextPlusOne4,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault4.txtVBAScriptControlledLabel4,Arial,14,0,Machine Fault 4:,机器故障 4:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault4.DataLink_Fault4,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault5.TextPlusOne5,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault5.txtVBAScriptControlledLabel5,Arial,14,0,Machine Fault 5:,机器故障 5:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault5.DataLink_Fault5,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault6.TextPlusOne6,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault6.txtVBAScriptControlledLabel6,Arial,14,0,Machine Fault 6:,机器故障 6:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault6.DataLink_Fault6,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault7.TextPlusOne7,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault7.txtVBAScriptControlledLabel7,Arial,14,0,Machine Fault 7:,机器故障 7:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault7.DataLink_Fault7,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault8.TextPlusOne8,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault8.txtVBAScriptControlledLabel8,Arial,14,0,Machine Fault 8:,机器故障 8:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault8.DataLink_Fault8,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault9.TextPlusOne9,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault9.txtVBAScriptControlledLabel9,Arial,14,0,Machine Fault 9:,机器故障 9:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault9.DataLink_Fault9,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault10.TextPlusOne10,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault10.txtVBAScriptControlledLabel10,Arial,14,0,Machine Fault 10:,机器故障 10:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault10.DataLink_Fault10,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault11.TextPlusOne11,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault11.txtVBAScriptControlledLabel11,Arial,14,0,Machine Fault 11:,机器故障 11:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault11.DataLink_Fault11,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault12.TextPlusOne12,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault12.txtVBAScriptControlledLabel12,Arial,14,0,Machine Fault 12:,机器故障 12:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault12.DataLink_Fault12,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault14.TextPlusOne14,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault14.txtVBAScriptControlledLabel14,Arial,14,0,Machine Fault 14:,机器故障 14:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault14.DataLink_Fault14,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault13.TextPlusOne13,Arial,16,1,1,1,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault13.txtVBAScriptControlledLabel13,Arial,14,0,Machine Fault 13:,机器故障 13:,,
Caption,OEM_800_600_FaultStatus.grpFaults.grpFault13.DataLink_Fault13,Arial,14,0,,,,
Caption,OEM_800_600_FaultStatus.grpNlsStrings.txtIncrementConfirmation,Arial,1,0,Do you want to record a fault condition:,你想记录故障条件吗:,,
Caption,OEM_800_600_FaultStatus.grpNlsStrings.txtResetAllConfirmation,Arial,1,0,Do you want to reset all the fault counts?,你想重置所有故障计数吗?,,
Caption,OEM_800_600_FaultStatus.grpNlsStrings.txtMsgTitle,Arial,1,0,Fault Count,故障计数,,
