"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_800_600_Overview.grpHeaderBar.grpTitle.txtShadingTitle,Arial,22,1,Jack's OEM Machine,杰克的OEM机器,,
Caption,OEM_800_600_Overview.grpHeaderBar.grpTitle.txtFrontTitle,Arial,22,1,Jack's OEM Machine,杰克的OEM机器,,
Caption,OEM_800_600_Overview.grpNavigationButtons.grpNavMachineSetup.BtnLabelMachineSetup,Arial,14,1,Machine Setup,机器设置,,
Caption,OEM_800_600_Overview.grpNavigationButtons.grpNavProdSetup.BtnLabelProductSetup,Arial,14,1,Product Setup,产品设置,,
Caption,OEM_800_600_Overview.grpNavigationButtons.grpNavProdStatus.BtnLabelProductStatus,Arial,14,1,Product Status,产品状态,,
Caption,OEM_800_600_Overview.grpNavigationButtons.grpNavFaultStatus.BtnLabelFaultStatus,Arial,14,1,Fault Status,故障状态,,
Caption,OEM_800_600_Overview.grpNavigationButtons.grpNavMachineState.BtnLabelMachineState,Arial,14,1,Machine State,机器状态,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpUpstream.Text5,Arial,14,1,Upstream Status:,上游状态:,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpUpstream.txtUpstreamStatus,Arial,14,1,Stopped,已停止,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpDownstream.Text19,Arial,14,1,Downstream Status:,下游状态:,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpDownstream.txtDownStreamStatus,Arial,14,1,Running,运行中,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpMachineStatus.Text6,Arial,14,1,Machine Status:,机器状态:,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpMachineStatus.txtMachineStatus,Arial,14,1,Fault,故障,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpMachineState.Text10,Arial,14,1,Machine State:,机器状态:,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpMachineState.txtMachineState,Arial,14,1,Suspended,已暂停,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpJogStatus.Text11,Arial,14,1,Jog Status:,点动状态:,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpJogStatus.txtJogStatus,Arial,14,1,Disabled,已禁止,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpStart.lblStart,Arial,14,1,Start,启动,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpStop.lblStop,Arial,14,1,Stop,停止,,
Caption,OEM_800_600_Overview.grpStatusInfo.grpEnableJog.lblEnableJog,Arial,14,1,Enable Jog,允许点动,,
Caption,OEM_800_600_Overview.grpNlsStrings.txtStartConfirmation,Arial,1,0,Do you want to start the machine?,你想启动机器吗?,,
Caption,OEM_800_600_Overview.grpNlsStrings.txtStopConfirmation,Arial,1,0,Do you want to stop the machine?,你想停止机器吗?,,
Caption,OEM_800_600_Overview.grpNlsStrings.txtEnableJogConfirmation,Arial,1,0,Do you want to enable jog?,你想允许点动吗?,,
Caption,OEM_800_600_Overview.grpNlsStrings.txtMsgTitle,Arial,1,0,Machine Control,机器控制,,
