"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Description,OEM_800_600_ProductStatus.grpHeaderBar.PanelBtnHome,,,,Home,主页,,
Description,OEM_800_600_ProductStatus.grpHeaderBar.PanelBtnMachineSetup,,,,Machine Setup,机器设置,,
Description,OEM_800_600_ProductStatus.grpHeaderBar.PanelBtnStateModel,,,,State Model,状态模型,,
Description,OEM_800_600_ProductStatus.grpHeaderBar.PanelBtnFault,,,,Fault Status,故障状态,,
Description,OEM_800_600_ProductStatus.grpHeaderBar.PanelBtnProductSetup,,,,Product Setup,产品设置,,
Caption,OEM_800_600_ProductStatus.grpHeaderBar.grpTitle.txtShadingTitle,Arial,22,1,Production Status,生产状态,,
Caption,OEM_800_600_ProductStatus.grpHeaderBar.grpTitle.txtFrontTitle,Arial,22,1,Production Status,生产状态,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault1Label2,Arial,8,0,Fault 1,故障 1,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault2Label2,Arial,8,0,Fault 2,故障 2,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault3Label2,Arial,8,0,Fault 3,故障 3,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault4Label2,Arial,8,0,Fault 4,故障 4,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault5Label2,Arial,8,0,Fault 5,故障 5,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault6Label2,Arial,8,0,Fault 6,故障 6,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault7Label2,Arial,8,0,Fault 7,故障 7,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault8Label2,Arial,8,0,Fault 8,故障 8,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault9Label2,Arial,8,0,Fault 9,故障 9,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault10Label2,Arial,8,0,Fault 10,故障 10,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault11Label2,Arial,8,0,Fault 11,故障 11,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault12Label2,Arial,8,0,Fault 12,故障 12,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault13Label2,Arial,8,0,Fault 13,故障 13,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpYAxisLabels2.Fault14Label2,Arial,8,0,Fault 14,故障 14,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextTen3,Arial,8,0,10,10,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextTwenty3,Arial,8,0,20,20,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextThirty3,Arial,8,0,30,30,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextForty3,Arial,8,0,40,40,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextFifty3,Arial,8,0,50,50,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextSixty3,Arial,8,0,60,60,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextSeventy3,Arial,8,0,70,70,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextEighty3,Arial,8,0,80,80,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextNinety3,Arial,8,0,90,90,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpXAxisLabels2.TextOneHundred2,Arial,8,0,100,100,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar10Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar11Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar12Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar13Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar14Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar1Display2,Arial,9,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar2Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar3Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar4Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar5Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar6Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar7Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar8Display2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.FaultBarChart.grpBars3.DataLink_Bar9Display2,Arial,9,1,,,,
Description,OEM_800_600_ProductStatus.FaultBarChart,,,,FaultBarChart,故障条形图,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpQualityDisplay2.txtQualityPercent2,Arial,10,1,100.00%,100.00%,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpQualityDisplay2.DataLink_DisplayQuality2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpPerformanceDisplay2.txtPerformancePercent2,Arial,10,1,100.00%,100.00%,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpPerformanceDisplay2.DataLink_DisplayPerformance2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpAvailabilityDisplay2.txtAvailabilityPercent2,Arial,10,1,100.00%,100.00%,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpAvailabilityDisplay2.DataLink_DisplayAvailability2,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpOEEDisplay2.txtOEEPercent2,Arial,12,1,100.00%,100.00%,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpBars4.grpOEEDisplay2.DataLink_DisplayOEE2,Arial,12,1,,,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextThirty4,Arial,8,0,30,30,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextForty4,Arial,8,0,40,40,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextFifty4,Arial,8,0,50,50,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextSixty4,Arial,8,0,60,60,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextSeventy4,Arial,8,0,70,70,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextEighty4,Arial,8,0,80,80,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextNinety4,Arial,8,0,90,90,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextOneHundred1,Arial,8,0,100,100,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextAvailability2,Arial,8,0,Availability,可用性,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextPerformance2,Arial,8,0,Performance,性能,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextQuality2,Arial,8,0,Quality,质量,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextOEE2,Arial,8,0,Overall Equip\nEffectiveness,总体设备效率,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextTen4,Arial,8,0,10,10,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextTwenty4,Arial,8,0,20,20,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.grpLabels2.TextSetpoint2,Arial,8,0,Setpoint,设置值,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.GrpSetpoint2.txtSetPointPercent2,Arial,10,1,100.00%,100.00%,,
Caption,OEM_800_600_ProductStatus.OEEBarChart.GrpSetpoint2.txtSetPointValue2,Arial,10,1,,,,
Description,OEM_800_600_ProductStatus.OEEBarChart,,,,OEEBarChart,OEE条形图,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowLabels4.RowOneLabel4,Arial,9,1,Target Count:,目标数量:,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowLabels4.RowTwoLabel4,Arial,10,1,Current Count:,当前数量:,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowLabels4.RowThreeLabel4,Arial,10,1,Production Count:,产量:,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowLabels4.RowFourLabel4,Arial,10,1,Defect Count:,次品数量:,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowDataSources4.RowOneData4,Arial,9,1,,,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowDataSources4.RowTwoData4,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowDataSources4.RowThreeData4,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpCounts.GrpRowDataSources4.RowFourData4,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowLabels12.RowOneLabel12,Arial,10,1,Run,运行,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowLabels12.RowTwoLabel12,Arial,10,1,Fault,故障,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowLabels12.RowThreeLabel12,Arial,10,1,Blocked,阻塞,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowLabels12.RowFourLabel12,Arial,11,1,Starved,缺料,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.TextlblPercentFour12,Arial,11,1,%,%,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.TextlblPercentOne12,Arial,10,1,%,%,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.TextlblPercentTwo12,Arial,10,1,%,%,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.TextlblPercentThree12,Arial,10,1,%,%,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.RowOneDisplayData12,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.RowTwoDisplayData12,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.RowThreeDisplayData12,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieGrid8.GrpRowDataSources12.RowFourDisplayData12,Arial,10,1,,,,
Caption,OEM_800_600_ProductStatus.grpStates.GroupPieChart4.GroupSolidOvals4.grpAllZeros7.TextQuestionMark7,Arial,49,0,?,?,,
