"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_NumericPad.grpButtonEnter.PanelButtonEnterText,Arial,28,0,Enter,输入,,
Caption,OEM_NumericPad.grpButtonCancel.PanelButtonCancelText,Arial,28,0,Cancel,取消,,
Caption,OEM_NumericPad.grpButtonClear.PanelButtonClearText,Arial,28,0,Clear,清除,,
Caption,OEM_NumericPad.grpButtonZero.PanelButtonZeroText,Arial,36,0,0,0,,
Caption,OEM_NumericPad.grpButtonEight.PanelButtonEightText,Arial,36,0,8,8,,
Caption,OEM_NumericPad.grpButtonSeven.PanelButtonFourText,Arial,36,0,7,7,,
Caption,OEM_NumericPad.grpButtonNine.PanelButtonNineText,Arial,36,0,9,9,,
Caption,OEM_NumericPad.grpButtonSix.PanelButtonThreeText1,Arial,36,0,6,6,,
Caption,OEM_NumericPad.grpButtonFive.PanelButtonFiveText,Arial,36,0,5,5,,
Caption,OEM_NumericPad.grpButtonFour.PanelButtonFourText1,Arial,36,0,4,4,,
Caption,OEM_NumericPad.grpButtonOne.PanelButtonOneText,Arial,36,0,1,1,,
Caption,OEM_NumericPad.grpButtonTwo.PanelButtonTwoText,Arial,36,0,2,2,,
Caption,OEM_NumericPad.grpButtonThree.PanelButtonThreeText,Arial,36,0,3,3,,
Caption,OEM_NumericPad.grpButtonMinus.PanelButtonMinusText,Arial,36,0,-,-,,
Caption,OEM_NumericPad.grpButtonDecimal.PanelButtonDecimalText,Arial,36,0,.,.,,
Caption,OEM_NumericPad.txtLiteral_UnsupportedDataSource,Arial,12,0,Invalid or unsupported data source.,无效或不支持的数据源.,,
