"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_StateCommands.StateCommandButtons.grpButtonReset.ButtonLabelReset,Arial,14,0,Reset,重置,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonStop.ButtonLabelStop,Arial,14,0,Stop,停止,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonStart.ButtonLabelStart,Arial,14,0,Start,启动,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonUnHold.ButtonLabelUnHold,Arial,14,0,Unhold,取消保持,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonUnSuspend.ButtonLabelUnSuspend,Arial,14,0,Unsuspend,取消暂停,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonClear.ButtonLabelClear,Arial,14,0,Clear,清除,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonHold.ButtonLabelHold,Arial,14,0,Hold,保持,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonSuspend.ButtonLabelSuspend,Arial,14,0,Suspend,暂停,,
Caption,OEM_StateCommands.StateCommandButtons.grpButtonAbort.ButtonLabelAbort,Arial,14,0,Abort,放弃,,
Caption,OEM_StateCommands.grpButtonCancel.ButtonLabelCancel1,Arial,14,0,Cancel,取消,,
Caption,OEM_StateCommands.grpNlsStrings.txtStartConfirmation,Arial,1,0,Do you want to start the machine?,你想启动机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtStopConfirmation,Arial,1,0,Do you want to stop the machine?,你想停止机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtMsgTitle,Arial,1,0,Machine Control,机器控制,,
Caption,OEM_StateCommands.grpNlsStrings.txtResetConfirmation,Arial,1,0,Do you want to reset the machine?,你想重置机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtHoldConfirmation,Arial,1,0,Do you want to hold the machine?,你想保持机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtUnholdConfirmation,Arial,1,0,Do you want to unhold the machine?,你想取消保持机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtSuspendConfirmation,Arial,1,0,Do you want to suspend the machine?,你想暂停机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtUnsuspendConfirmation,Arial,1,0,Do you want to unsuspend the machine?,你想取消暂停机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtAbortConfirmation,Arial,1,0,Do you want to abort the machine?,你想放弃机器吗?,,
Caption,OEM_StateCommands.grpNlsStrings.txtClearConfirmation,Arial,1,0,Do you want to clear the machine?,你想清除机器吗?,,
