"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,PIDFaceplate.grpHeader.txtTagName,Arial,8,0,@DynamoName@,@DynamoName@,,
Caption,PIDFaceplate.grpSPPVHashValues.txtMaxValueSPPV,Arial,7,0,@SPPVHighTick@,@SPPVHighTick@,,
Caption,PIDFaceplate.grpSPPVHashValues.txt50Value25,Arial,7,0,&&&&,&&&&,,
Caption,PIDFaceplate.grpSPPVHashValues.txtMinValueSPPV,Arial,7,0,@SPPVLowTick@,@SPPVLowTick@,,
Caption,PIDFaceplate.grpLocalRemote.txtLocalRemote,Arial,8,0,Remote,远程,,
Caption,PIDFaceplate.grpLocalRemote.txtlblLocal,Arial,8,0,Local,就地,,
Caption,PIDFaceplate.grpLocalRemote.txtlblRemote,Arial,8,0,Remote,远程,,
Caption,PIDFaceplate.grpAutoManual.txtAutoManual,Arial,8,0,Auto,自动,,
Caption,PIDFaceplate.grpAutoManual.txtlblAuto,Arial,8,0,Auto,自动,,
Caption,PIDFaceplate.grpAutoManual.txtlblManual,Arial,8,0,Manual,手动,,
Caption,PIDFaceplate.grpOutput.grpHashValuesOP.txtMinValueOP,Arial,7,0,@OutputLowTick@,@OutputLowTick@,,
Caption,PIDFaceplate.grpOutput.grpHashValuesOP.txt50ValueOP,Arial,7,0,&&&&,&&&&,,
Caption,PIDFaceplate.grpOutput.grpHashValuesOP.txtMaxValueOP,Arial,7,0,@OutputHighTick@,@OutputHighTick@,,
Caption,PIDFaceplate.grpOutput.txtlbOP,Arial,9,0,OP,OP,,
Caption,PIDFaceplate.grpOutput.txtOPEGUUnits,Arial,8,0,@OutputUnits@,@OutputUnits@,,
Description,PIDFaceplate.grpOutput.LeftArrowButton,,,,Left Arrow Command Button,左箭头命令按钮,,
OleCaption,PIDFaceplate.grpOutput.LeftArrowButton,Arial,12,0,,,,
Description,PIDFaceplate.grpOutput.RightArrowButton,,,,Right Arrow Command Button,右箭头命令按钮,,
OleCaption,PIDFaceplate.grpOutput.RightArrowButton,Arial,12,0,,,,
Caption,PIDFaceplate.grpOutput.datOPOutputValue,Arial,8,0,,,,
Caption,PIDFaceplate.grpProcessVariable.txtlbPV,Arial,8,0,PV,PV,,
Caption,PIDFaceplate.grpProcessVariable.datPVValue,Arial,8,0,,,,
Caption,PIDFaceplate.grpSetpoint.txtlbSP,Arial,8,0,SP,SP,,
Description,PIDFaceplate.grpSetpoint.UpArrowButton,,,,Up Arrow Command Button,上箭头命令按钮,,
OleCaption,PIDFaceplate.grpSetpoint.UpArrowButton,Arial,12,0,,,,
Description,PIDFaceplate.grpSetpoint.DownArrowButton,,,,Down Arrow Command Button,下箭头命令按钮,,
OleCaption,PIDFaceplate.grpSetpoint.DownArrowButton,Arial,12,0,,,,
Caption,PIDFaceplate.grpSetpoint.datSPValue,Arial,8,0,,,,
Caption,PIDFaceplate.txtSPPVEGUUnits,Arial,8,0,@SPPVUnits@,@SPPVUnits@,,
